(-0.71638062 , 0.00000000)
(-0.71638296 , -0.00091397)
(-0.71639238 , -0.00181244)
(-0.71641544 , -0.00268211)
(-0.71646117 , -0.00351343)
(-0.71653912 , -0.00430084)
(-0.71665773 , -0.00504218)
(-0.71682349 , -0.00573762)
(-0.71704062 , -0.00638850)
(-0.71638062 , 0.00000000)
(-0.71731133 , -0.00699654)
(-0.71763617 , -0.00756321)
(-0.71801449 , -0.00808951)
(-0.71844481 , -0.00857586)
(-0.71892512 , -0.00902211)
(-0.71945307 , -0.00942762)
(-0.72002613 , -0.00979135)
(-0.72064164 , -0.01011194)
(-0.72129690 , -0.01038781)
(-0.72198918 , -0.01061721)
(-0.72271572 , -0.01079825)
(-0.72347376 , -0.01092901)
(-0.71638062 , 0.00000000)
(-0.72426050 , -0.01100749)
(-0.72507313 , -0.01103169)
(-0.72590880 , -0.01099962)
(-0.72676463 , -0.01090928)
(-0.72763770 , -0.01075873)
(-0.72852500 , -0.01054604)
(-0.72942351 , -0.01026931)
(-0.73033011 , -0.00992672)
(-0.73124162 , -0.00951646)
(-0.73215480 , -0.00903678)
(-0.73306631 , -0.00848600)
(-0.73397274 , -0.00786246)
(-0.73487057 , -0.00716458)
(-0.73575623 , -0.00639081)
(-0.73662600 , -0.00553966)
(-0.73747611 , -0.00460969)
(-0.73830265 , -0.00359952)
(-0.73910161 , -0.00250780)
(-0.73986887 , -0.00133324)
(-0.74060018 , -0.00007457)
